date,weeks_from,first_dose_0-19,first_dose_20-29,first_dose_30-39,first_dose_40-49,first_dose_50-59,first_dose_60-69,first_dose_70-79,first_dose_80-89,first_dose_90+,second_dose_0-19,second_dose_20-29,second_dose_30-39,second_dose_40-49,second_dose_50-59,second_dose_60-69,second_dose_70-79,second_dose_80-89,second_dose_90+
2020-12-25,39,609.0,6564.0,14009.0,19061.0,20828.0,70780.0,64157.0,21011.0,3624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,40,4997.0,40950.0,60372.0,85776.0,111358.0,271011.0,237459.0,97977.0,22643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,41,13170.0,89796.0,119085.0,182211.0,249627.0,429458.0,352795.0,156972.0,36664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,42,16291.0,110415.0,149368.0,229598.0,329246.0,460305.0,369777.0,165118.0,38293.0,542.0,5713.0,12578.0,17238.0,18845.0,62584.0,56270.0,18207.0,3155.0
2021-01-22,43,25049.0,170991.0,199831.0,351781.0,418493.0,483842.0,381500.0,170491.0,39376.0,4147.0,36220.0,54071.0,76782.0,98472.0,249763.0,221394.0,89950.0,20409.0
2021-01-29,44,90616.0,245667.0,276312.0,459585.0,467405.0,503400.0,391976.0,175510.0,40618.0,11879.0,83144.0,111084.0,170419.0,234062.0,410042.0,339799.0,149826.0,34380.0
2021-02-05,45,129827.0,334826.0,386296.0,532812.0,503559.0,518926.0,400585.0,179887.0,41738.0,15636.0,105714.0,143699.0,222277.0,318175.0,451224.0,363960.0,161587.0,36839.0
2021-02-12,46,154469.0,451418.0,490955.0,581694.0,532801.0,532963.0,407578.0,183209.0,42596.0,23175.0,159499.0,192155.0,338873.0,407213.0,474693.0,375829.0,166987.0,37901.0
2021-02-19,47,189659.0,578358.0,595234.0,643813.0,570327.0,551309.0,415592.0,186554.0,43333.0,83785.0,231231.0,264651.0,445121.0,455987.0,494014.0,386107.0,171760.0,39030.0
2021-02-26,48,227053.0,693915.0,690380.0,701455.0,605650.0,570241.0,425016.0,190800.0,44220.0,123566.0,316741.0,370795.0,518791.0,492316.0,509781.0,394918.0,176197.0,40142.0
2021-03-05,49,250712.0,757750.0,740667.0,735536.0,628654.0,584262.0,432280.0,193940.0,44841.0,148451.0,430511.0,474358.0,567688.0,520968.0,523581.0,401872.0,179612.0,41037.0
2021-03-12,50,267729.0,799809.0,770359.0,756023.0,642506.0,592870.0,436783.0,196108.0,45361.0,180936.0,550754.0,574496.0,626259.0,556578.0,541032.0,409647.0,182909.0,41759.0
2021-03-19,51,280178.0,830128.0,791435.0,769910.0,651398.0,598300.0,439476.0,197485.0,45680.0,216318.0,661278.0,666292.0,681366.0,590180.0,558926.0,418552.0,186921.0,42571.0
2021-03-26,52,286614.0,846937.0,803007.0,777234.0,656072.0,601179.0,440971.0,198231.0,45921.0,235808.0,716187.0,708726.0,707649.0,605996.0,567792.0,423188.0,189361.0,43074.0
2021-03-30,53,288842.0,851943.0,806438.0,779514.0,657623.0,602183.0,441528.0,198517.0,46029.0,242341.0,733285.0,720925.0,715774.0,611091.0,570627.0,424693.0,190173.0,43266.0
