,weeks_from,accumulated_cases_country
0,0,4087.0
262,1,7373.0
524,2,9707.0
786,3,11793.0
1048,4,13395.0
1310,5,14224.0
1572,6,14468.0
1834,7,14606.0
2096,8,14694.0
2358,9,14876.0
2620,10,15279.0
2882,11,16104.0
3144,12,17183.0
3406,13,18949.0
3668,14,23102.0
3930,15,30367.0
4192,16,40870.0
4454,17,52364.0
4716,18,63420.0
4978,19,72922.0
5240,20,82415.0
5502,21,91646.0
5764,22,102380.0
6026,23,116598.0
6288,24,137983.0
6550,25,167242.0
6812,26,204990.0
7074,27,241464.0
7336,28,266507.0
7598,29,278789.0
7860,30,285314.0
8122,31,289609.0
8384,32,293704.0
8646,33,297809.0
8908,34,302309.0
9170,35,307995.0
9432,36,315849.0
9694,37,326512.0
9956,38,341748.0
10218,39,364918.0
10480,40,396865.0
10742,41,442211.0
11004,42,495789.0
11266,43,543776.0
11528,44,585085.0
11790,45,626754.0
12052,46,659692.0
12314,47,683235.0
12576,48,706268.0
12838,49,729482.0
13100,50,746492.0
13362,51,755118.0
13624,52,759059.0
13886,53,761140.0
14148,54,761406.0
